train_acc,train_loss,valid_acc,valid_loss
63.225,0.642424698472023,62.175,0.6438591585159302
69.615,0.5760620987534523,74.635,0.5106926440119743
75.43,0.4999677832126617,79.115,0.4508310888051987
80.19,0.42970578801631926,84.125,0.3545297977268696
84.285,0.3594448886692524,84.76,0.34074276418089866
87.75,0.2878728987634182,91.1,0.2222179078221321
90.155,0.2353913485586643,91.89,0.19448351381272078
91.975,0.19481309323981405,93.93,0.15415447424799203
93.04,0.16854863514229657,93.74,0.15035516676083208
94.405,0.14324555428884925,96.01,0.10094064428731798
94.78,0.12945685767121612,96.07,0.09977994115091861
95.48,0.11147779709137977,96.72,0.0862882458506152
96.28,0.0944067429881543,96.97,0.07828829319179058
96.515,0.08707627023970708,97.715,0.06286905723176897
96.97,0.07577130151712336,98.045,0.052674397763540035
